Department,text,Subtype
BC MBC and Minorities Welfare Department (BCMBC),Complaint against BCMBC for hostel food quality.,Hostel Food Quality
Tamil Dev. and Information Department (TAMINF),We are suffering due to press/media accreditation.,Press/Media Accreditation
Energy Department (ENERGY),No electricity / Power cut,Frequent Power Cuts
Human Resources Management Department (PAR),Complaint regarding Transfer/Posting Request,Transfer/Posting Request
Public Elections Department (ELECTION),My grievance is about name missing in voter list.,Name Missing in Voter List
Housing and Urban Development Department (HUD),Complaint against HUD for tnhb allotment issue.,TNHB Allotment Issue
School Education Department (SCHOOL),Problem faced: school admission denied.,School Admission Denied
Highways and Minor Ports Department (HWY),Toll Plaza Excess Fee issue,Toll Plaza Excess Fee
Home Prohibition and Excise Department (HOMEEXC),Complaint regarding Prison Inmate Welfare,Prison Inmate Welfare
Water Resources Department (WRD),We are suffering due to check dam construction.,Check Dam Construction
Human Resources Management Department (PAR),Compassionate Appointment Delay,Compassionate Appointment Delay
Planning Development Department (PLGDEV),We are suffering due to state scheme implementation.,State Scheme Implementation
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Urgent action needed on milk procurement price.,Milk Procurement Price
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Report on yarn subsidy not received.,Yarn Subsidy Not Received
Industries Department (IND),We are suffering due to sipcot land allotment.,SIPCOT Land Allotment
Micro Small and Medium Enterprises Department (MSME),Complaint regarding MUDRA Loan Rejection,MUDRA Loan Rejection
Micro Small and Medium Enterprises Department (MSME),I have a complaint regarding udyam registration error.,Udyam Registration Error
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Please look into this co-optex sales payment matter.,Co-optex Sales Payment
Adi Dravidar and Tribal Welfare Department (ADW),Community Certificate Delay,Community Certificate Delay
Human Resources Management Department (PAR),My grievance is about service register entry missing.,Service Register Entry Missing
Youth Welfare and Sports Development Department (YOUTHSP),Complaint against YOUTHSP for playground maintenance.,Playground Maintenance
Human Resources Management Department (PAR),Urgent action needed on service register entry missing.,Service Register Entry Missing
Revenue and Disaster Management Department (REV),Requesting help with income/community certificate.,Income/Community Certificate
Agriculture and Farmers welfares Department (AGRI),Problem faced: farm machinery subsidy.,Farm Machinery Subsidy
Social Welfare and Women Empowerment Department (SWNM),Problem faced: working women hostel.,Working Women Hostel
Highways and Minor Ports Department (HWY),Fix the pothole on the main road,State Highway Potholes
Labour Welfare and Skill Development Department (LBREMP),Requesting help with pf claim settlement.,PF Claim Settlement
Energy Department (ENERGY),Problem faced: meter fault / replacement.,Meter Fault / Replacement
Public Works Department (PWD),We are suffering due to pwd guest house booking.,PWD Guest House Booking
Housing and Urban Development Department (HUD),"Issue with unapproved layout plot, please resolve.",Unapproved Layout Plot
Labour Welfare and Skill Development Department (LBREMP),I have a complaint regarding construction workers board.,Construction Workers Board
Agriculture and Farmers welfares Department (AGRI),We are suffering due to pest attack support.,Pest Attack Support
Agriculture and Farmers welfares Department (AGRI),We are suffering due to crop insurance claim.,Crop Insurance Claim
Revenue and Disaster Management Department (REV),Requesting help with patta / chitta transfer.,Patta / Chitta Transfer
Health and Family Welfare Department (HEALTH),Complaint against HEALTH for 108 ambulance delay.,108 Ambulance Delay
Legislative Assembly Department (LEGIS),We are suffering due to mla office not open.,MLA Office Not Open
Revenue and Disaster Management Department (REV),Income/Community Certificate issue,Income/Community Certificate
Information Technology Department (IT),Problem faced: server down / website crash.,Server Down / Website Crash
Planning Development Department (PLGDEV),Complaint against PLGDEV for district development plan.,District Development Plan
Water Resources Department (WRD),Please look into this check dam construction matter.,Check Dam Construction
Higher Education Department (HIGHEDU),Problem faced: rusa fund utilization.,RUSA Fund Utilization
Public Department (PUBLIC),Urgent action needed on chief minister's special cell.,Chief Minister's Special Cell
Public Works Department (PWD),Complaint against PWD for govt building maintenance.,Govt Building Maintenance
Industries Department (IND),I have a complaint regarding sipcot land allotment.,SIPCOT Land Allotment
Human Resources Management Department (PAR),I have a complaint regarding service register entry missing.,Service Register Entry Missing
Home Prohibition and Excise Department (HOMEEXC),Police Inaction issue,Police Inaction
Planning Development Department (PLGDEV),Urgent action needed on state scheme implementation.,State Scheme Implementation
Highways and Minor Ports Department (HWY),Complaint regarding State Highway Potholes,State Highway Potholes
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),I have a complaint regarding cattle feed shortage.,Cattle Feed Shortage
Tamil Dev. and Information Department (TAMINF),"Issue with government exhibition, please resolve.",Government Exhibition
Public Elections Department (ELECTION),Report on polling booth complaint.,Polling Booth Complaint
Public Department (PUBLIC),My grievance is about freedom fighter pension.,Freedom Fighter Pension
Municipal Administration and Water Supply Department (MAWS),Requesting help with property tax issue.,Property Tax Issue
Planning Development Department (PLGDEV),I have a complaint regarding state scheme implementation.,State Scheme Implementation
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Please look into this yarn subsidy not received matter.,Yarn Subsidy Not Received
Micro Small and Medium Enterprises Department (MSME),Udyam Registration Error issue,Udyam Registration Error
Special Programme Implementation (SPI),"Issue with announcement implementation, please resolve.",Announcement Implementation
School Education Department (SCHOOL),Urgent action needed on teacher absenteeism.,Teacher Absenteeism
Highways and Minor Ports Department (HWY),Complaint regarding Road Signage Missing,Road Signage Missing
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Veterinary Doctor Unavailable,Veterinary Doctor Unavailable
Highways and Minor Ports Department (HWY),Urgent action needed on state highway potholes.,State Highway Potholes
Public Department (PUBLIC),Please look into this freedom fighter pension matter.,Freedom Fighter Pension
Home Prohibition and Excise Department (HOMEEXC),Problem faced: prison inmate welfare.,Prison Inmate Welfare
Highways and Minor Ports Department (HWY),Problem faced: state highway potholes.,State Highway Potholes
Labour Welfare and Skill Development Department (LBREMP),Requesting help with construction workers board.,Construction Workers Board
BC MBC and Minorities Welfare Department (BCMBC),Complaint regarding Ulema Pension Scheme,Ulema Pension Scheme
School Education Department (SCHOOL),School Admission Denied,School Admission Denied
Public Elections Department (ELECTION),Complaint against ELECTION for candidate malpractice.,Candidate Malpractice
Co-operation Food and Consumer Protection Department (FOODCO),Ration Rice Quality issue,Ration Rice Quality
Revenue and Disaster Management Department (REV),Cyclone Relief Not Received issue,Cyclone Relief Not Received
Tamil Dev. and Information Department (TAMINF),Complaint regarding Tamil Book Publication,Tamil Book Publication
Legislative Assembly Department (LEGIS),We are suffering due to assembly proceedings query.,Assembly Proceedings Query
Industries Department (IND),Complaint against IND for single window clearance.,Single Window Clearance
Co-operation Food and Consumer Protection Department (FOODCO),Complaint regarding Consumer Court Complaint,Consumer Court Complaint
Human Resources Management Department (PAR),I have a complaint regarding transfer/posting request.,Transfer/Posting Request
Health and Family Welfare Department (HEALTH),Report on dengue/malaria outbreak.,Dengue/Malaria Outbreak
Micro Small and Medium Enterprises Department (MSME),My grievance is about raw material cost.,Raw Material Cost
Information Technology Department (IT),Requesting help with broadband connectivity infrastructure.,Broadband Connectivity Infrastructure
School Education Department (SCHOOL),Complaint against SCHOOL for mid-day meal scheme.,Mid-day Meal Scheme
Home Prohibition and Excise Department (HOMEEXC),Please look into this police inaction matter.,Police Inaction
Commercial Taxes and Registration Department (CTREG),Property Registration Delay,Property Registration Delay
Finance Department (FIN),"Issue with retired employee benefits, please resolve.",Retired Employee Benefits
Higher Education Department (HIGHEDU),Professor Vacancy issue,Professor Vacancy
Micro Small and Medium Enterprises Department (MSME),We are suffering due to mudra loan rejection.,MUDRA Loan Rejection
Handlooms Handicrafts Textiles and Khadi Department (HHTK),"Issue with co-optex sales payment, please resolve.",Co-optex Sales Payment
Welfare of Differently Abled Persons (DIFFABLE),Complaint against DIFFABLE for accessibility in public buildings.,Accessibility in Public Buildings
Public Works Department (PWD),Irrigation Canal Cleaning issue,Irrigation Canal Cleaning
Finance Department (FIN),I have a complaint regarding pension disbursement delay.,Pension Disbursement Delay
Housing and Urban Development Department (HUD),Complaint regarding Slum Clearance Board Tenement,Slum Clearance Board Tenement
Information Technology Department (IT),"Issue with it park facilities, please resolve.",IT Park Facilities
Information Technology Department (IT),Please look into this it park facilities matter.,IT Park Facilities
Health and Family Welfare Department (HEALTH),Complaint regarding Medicine Shortage,Medicine Shortage
Transport Department (TRANS),We are suffering due to overcrowding in bus.,Overcrowding in Bus
Municipal Administration and Water Supply Department (MAWS),Street light flickering and not working,Street Light Not Working
Water Resources Department (WRD),Complaint regarding Water Release for Farming,Water Release for Farming
Micro Small and Medium Enterprises Department (MSME),Complaint regarding Industrial Shed Allotment,Industrial Shed Allotment
Revenue and Disaster Management Department (REV),Problem faced: patta / chitta transfer.,Patta / Chitta Transfer
Public Department (PUBLIC),Report on chief minister's special cell.,Chief Minister's Special Cell
Youth Welfare and Sports Development Department (YOUTHSP),Report on sports kit request.,Sports Kit Request
Labour Welfare and Skill Development Department (LBREMP),Skill Training Application issue,Skill Training Application
Legislative Assembly Department (LEGIS),Requesting help with mla office not open.,MLA Office Not Open
Finance Department (FIN),"Issue with gpf/cps settlement, please resolve.",GPF/CPS Settlement
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),"Issue with cattle feed shortage, please resolve.",Cattle Feed Shortage
Public Department (PUBLIC),We are suffering due to law and order general.,Law and Order General
Highways and Minor Ports Department (HWY),Complaint regarding Toll Plaza Excess Fee,Toll Plaza Excess Fee
Energy Department (ENERGY),My grievance is about transformer sparking/fire.,Transformer Sparking/Fire
Finance Department (FIN),Requesting help with gpf/cps settlement.,GPF/CPS Settlement
Home Prohibition and Excise Department (HOMEEXC),"Issue with illicit liquor sale, please resolve.",Illicit Liquor Sale
Public Elections Department (ELECTION),Polling Booth Complaint issue,Polling Booth Complaint
Agriculture and Farmers welfares Department (AGRI),I have a complaint regarding crop insurance claim.,Crop Insurance Claim
Revenue and Disaster Management Department (REV),Requesting help with cyclone relief not received.,Cyclone Relief Not Received
Public Works Department (PWD),Complaint regarding Lake Encroachment,Lake Encroachment
Municipal Administration and Water Supply Department (MAWS),Street Light Not Working issue,Street Light Not Working
Micro Small and Medium Enterprises Department (MSME),MSME Subsidy Delay,MSME Subsidy Delay
Energy Department (ENERGY),Transformer Sparking/Fire issue,Transformer Sparking/Fire
Home Prohibition and Excise Department (HOMEEXC),"Issue with police inaction, please resolve.",Police Inaction
Human Resources Management Department (PAR),Govt Job Recruitment Scam issue,Govt Job Recruitment Scam
Special Programme Implementation (SPI),Complaint regarding Scheme Monitoring,Scheme Monitoring
Adi Dravidar and Tribal Welfare Department (ADW),We are suffering due to atrocities on sc/st.,Atrocities on SC/ST
Welfare of Differently Abled Persons (DIFFABLE),Report on disability id card.,Disability ID Card
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),My grievance is about boat diesel subsidy.,Boat Diesel Subsidy
Finance Department (FIN),Retired Employee Benefits issue,Retired Employee Benefits
Home Prohibition and Excise Department (HOMEEXC),We are suffering due to police inaction.,Police Inaction
Information Technology Department (IT),Urgent action needed on broadband connectivity infrastructure.,Broadband Connectivity Infrastructure
Adi Dravidar and Tribal Welfare Department (ADW),Urgent action needed on atrocities on sc/st.,Atrocities on SC/ST
Transport Department (TRANS),Requesting help with rto license delay.,RTO License Delay
Water Resources Department (WRD),Requesting help with river sand mining.,River Sand Mining
Tamil Dev. and Information Department (TAMINF),Report on press/media accreditation.,Press/Media Accreditation
Environment Climate Change and Forests Department (ENVFOR),Please look into this illegal tree cutting matter.,Illegal Tree Cutting
Welfare of Differently Abled Persons (DIFFABLE),Requesting help with disability id card.,Disability ID Card
Highways and Minor Ports Department (HWY),Please look into this state highway potholes matter.,State Highway Potholes
Tamil Dev. and Information Department (TAMINF),Problem faced: government exhibition.,Government Exhibition
Energy Department (ENERGY),"Issue with meter fault / replacement, please resolve.",Meter Fault / Replacement
Tourism Culture and Religious Endowments Department (TOURCUL),Urgent action needed on heritage site protection.,Heritage Site Protection
Transport Department (TRANS),My grievance is about bus not stopping.,Bus Not Stopping
Human Resources Management Department (PAR),"Issue with service register entry missing, please resolve.",Service Register Entry Missing
Home Prohibition and Excise Department (HOMEEXC),We are suffering due to prison inmate welfare.,Prison Inmate Welfare
Tourism Culture and Religious Endowments Department (TOURCUL),Urgent action needed on temple maintenance.,Temple Maintenance
Rural Development and Panchayat Raj Department (RDPR),We are suffering due to gram sabha meeting.,Gram Sabha Meeting
Co-operation Food and Consumer Protection Department (FOODCO),Weight Measurement Fraud,Weight Measurement Fraud
Energy Department (ENERGY),"Issue with new connection delay, please resolve.",New Connection Delay
Municipal Administration and Water Supply Department (MAWS),Problem faced: road damage.,Road Damage
Finance Department (FIN),Urgent action needed on retired employee benefits.,Retired Employee Benefits
Public Works Department (PWD),"Issue with govt building maintenance, please resolve.",Govt Building Maintenance
Legislative Assembly Department (LEGIS),Complaint regarding MLA Office Not Open,MLA Office Not Open
Highways and Minor Ports Department (HWY),My grievance is about road widening encroachment.,Road Widening Encroachment
Industries Department (IND),Urgent action needed on industrial safety violation.,Industrial Safety Violation
Legislative Assembly Department (LEGIS),Problem faced: mla office not open.,MLA Office Not Open
School Education Department (SCHOOL),Complaint regarding School Admission Denied,School Admission Denied
Welfare of Differently Abled Persons (DIFFABLE),We are suffering due to disability id card.,Disability ID Card
Higher Education Department (HIGHEDU),Complaint regarding College Admission Issue,College Admission Issue
Agriculture and Farmers welfares Department (AGRI),Complaint against AGRI for crop insurance claim.,Crop Insurance Claim
Housing and Urban Development Department (HUD),We are suffering due to slum clearance board tenement.,Slum Clearance Board Tenement
Human Resources Management Department (PAR),I have a complaint regarding compassionate appointment delay.,Compassionate Appointment Delay
Housing and Urban Development Department (HUD),We are suffering due to dtcp approval delay.,DTCP Approval Delay
Environment Climate Change and Forests Department (ENVFOR),Urgent action needed on illegal tree cutting.,Illegal Tree Cutting
Public Elections Department (ELECTION),Complaint regarding Candidate Malpractice,Candidate Malpractice
Health and Family Welfare Department (HEALTH),"Issue with doctor absent in gh, please resolve.",Doctor Absent in GH
Home Prohibition and Excise Department (HOMEEXC),Cyber Crime Complaint,Cyber Crime Complaint
Transport Department (TRANS),Bus never comes on time,Bus Not Stopping
Adi Dravidar and Tribal Welfare Department (ADW),Problem faced: atrocities on sc/st.,Atrocities on SC/ST
Human Resources Management Department (PAR),My grievance is about compassionate appointment delay.,Compassionate Appointment Delay
Public Elections Department (ELECTION),Urgent action needed on voter id card not received.,Voter ID Card Not Received
Housing and Urban Development Department (HUD),Problem faced: dtcp approval delay.,DTCP Approval Delay
Finance Department (FIN),Complaint regarding GPF/CPS Settlement,GPF/CPS Settlement
Agriculture and Farmers welfares Department (AGRI),My grievance is about seed quality issue.,Seed Quality Issue
Transport Department (TRANS),Problem faced: rto license delay.,RTO License Delay
Revenue and Disaster Management Department (REV),Requesting help with old age pension (oap).,Old Age Pension (OAP)
Transport Department (TRANS),Requesting help with overcrowding in bus.,Overcrowding in Bus
Health and Family Welfare Department (HEALTH),Please look into this 108 ambulance delay matter.,108 Ambulance Delay
Labour Welfare and Skill Development Department (LBREMP),Report on construction workers board.,Construction Workers Board
Labour Welfare and Skill Development Department (LBREMP),My grievance is about construction workers board.,Construction Workers Board
Tamil Dev. and Information Department (TAMINF),Urgent action needed on press/media accreditation.,Press/Media Accreditation
Health and Family Welfare Department (HEALTH),Dengue/Malaria Outbreak,Dengue/Malaria Outbreak
BC MBC and Minorities Welfare Department (BCMBC),Report on hostel food quality.,Hostel Food Quality
Energy Department (ENERGY),Frequent Power Cuts issue,Frequent Power Cuts
Planning Development Department (PLGDEV),My grievance is about district development plan.,District Development Plan
School Education Department (SCHOOL),Report on school building dilapidated.,School Building Dilapidated
Agriculture and Farmers welfares Department (AGRI),Crop Insurance Claim,Crop Insurance Claim
Tourism Culture and Religious Endowments Department (TOURCUL),Problem faced: annadhanam quality.,Annadhanam Quality
Tourism Culture and Religious Endowments Department (TOURCUL),I have a complaint regarding annadhanam quality.,Annadhanam Quality
Finance Department (FIN),My grievance is about government employee salary issue.,Government Employee Salary Issue
Law Department (LAW),Report on legal aid request.,Legal Aid Request
Special Programme Implementation (SPI),Please look into this scheme monitoring matter.,Scheme Monitoring
Micro Small and Medium Enterprises Department (MSME),"Issue with mudra loan rejection, please resolve.",MUDRA Loan Rejection
Tamil Dev. and Information Department (TAMINF),Government Exhibition,Government Exhibition
School Education Department (SCHOOL),Urgent action needed on school admission denied.,School Admission Denied
Health and Family Welfare Department (HEALTH),I have a complaint regarding 108 ambulance delay.,108 Ambulance Delay
Health and Family Welfare Department (HEALTH),I have a complaint regarding doctor absent in gh.,Doctor Absent in GH
School Education Department (SCHOOL),Complaint against SCHOOL for school admission denied.,School Admission Denied
Commercial Taxes and Registration Department (CTREG),Please look into this encumbrance certificate error matter.,Encumbrance Certificate Error
Health and Family Welfare Department (HEALTH),Hospital is very dirty,Sanitation in Hospital
Highways and Minor Ports Department (HWY),I have a complaint regarding bridge construction delay.,Bridge Construction Delay
Highways and Minor Ports Department (HWY),State Highway Potholes issue,State Highway Potholes
Public Works Department (PWD),We are suffering due to irrigation canal cleaning.,Irrigation Canal Cleaning
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Problem faced: boat diesel subsidy.,Boat Diesel Subsidy
Tamil Dev. and Information Department (TAMINF),"Issue with tamil book publication, please resolve.",Tamil Book Publication
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Handicraft Artisan Loan issue,Handicraft Artisan Loan
Information Technology Department (IT),Complaint regarding Server Down / Website Crash,Server Down / Website Crash
Labour Welfare and Skill Development Department (LBREMP),"Issue with minimum wages violation, please resolve.",Minimum Wages Violation
Youth Welfare and Sports Development Department (YOUTHSP),Problem faced: sports kit request.,Sports Kit Request
Health and Family Welfare Department (HEALTH),Problem faced: dengue/malaria outbreak.,Dengue/Malaria Outbreak
Law Department (LAW),Complaint regarding Law College Admission,Law College Admission
Environment Climate Change and Forests Department (ENVFOR),Problem faced: forest fire reporting.,Forest Fire Reporting
Water Resources Department (WRD),Complaint regarding Check Dam Construction,Check Dam Construction
Water Resources Department (WRD),Problem faced: check dam construction.,Check Dam Construction
BC MBC and Minorities Welfare Department (BCMBC),Requesting help with free tools scheme.,Free Tools Scheme
Environment Climate Change and Forests Department (ENVFOR),Problem faced: plastic waste ban violation.,Plastic Waste Ban Violation
Tourism Culture and Religious Endowments Department (TOURCUL),Complaint regarding Temple Maintenance,Temple Maintenance
Agriculture and Farmers welfares Department (AGRI),Complaint regarding Fertilizer Shortage,Fertilizer Shortage
Commercial Taxes and Registration Department (CTREG),GST Return Issue issue,GST Return Issue
Welfare of Differently Abled Persons (DIFFABLE),Tricycle/Scooter Request issue,Tricycle/Scooter Request
Tourism Culture and Religious Endowments Department (TOURCUL),My grievance is about hotel registration.,Hotel Registration
Rural Development and Panchayat Raj Department (RDPR),Gram Sabha Meeting issue,Gram Sabha Meeting
School Education Department (SCHOOL),Please look into this school admission denied matter.,School Admission Denied
Highways and Minor Ports Department (HWY),Requesting help with road signage missing.,Road Signage Missing
Special Programme Implementation (SPI),"Issue with flagship project delay, please resolve.",Flagship Project Delay
Planning Development Department (PLGDEV),Statistics Data Request issue,Statistics Data Request
Planning Development Department (PLGDEV),Requesting help with district development plan.,District Development Plan
Labour Welfare and Skill Development Department (LBREMP),PF Claim Settlement issue,PF Claim Settlement
Special Programme Implementation (SPI),Please look into this flagship project delay matter.,Flagship Project Delay
Adi Dravidar and Tribal Welfare Department (ADW),Problem faced: community certificate delay.,Community Certificate Delay
Finance Department (FIN),Report on treasury bill pending.,Treasury Bill Pending
Home Prohibition and Excise Department (HOMEEXC),Report on cyber crime complaint.,Cyber Crime Complaint
Tourism Culture and Religious Endowments Department (TOURCUL),Tourist Spot Facilities,Tourist Spot Facilities
Higher Education Department (HIGHEDU),Complaint against HIGHEDU for college admission issue.,College Admission Issue
Revenue and Disaster Management Department (REV),Patta / Chitta Transfer issue,Patta / Chitta Transfer
Energy Department (ENERGY),Complaint against ENERGY for high electricity bill.,High Electricity Bill
Tourism Culture and Religious Endowments Department (TOURCUL),Please look into this tourist spot facilities matter.,Tourist Spot Facilities
Higher Education Department (HIGHEDU),My grievance is about college admission issue.,College Admission Issue
Adi Dravidar and Tribal Welfare Department (ADW),Free House Site Patta - ADW issue,Free House Site Patta - ADW
Labour Welfare and Skill Development Department (LBREMP),Complaint regarding PF Claim Settlement,PF Claim Settlement
Tamil Dev. and Information Department (TAMINF),My grievance is about memorial maintenance.,Memorial Maintenance
Home Prohibition and Excise Department (HOMEEXC),Problem faced: fir registration refusal.,FIR Registration Refusal
Environment Climate Change and Forests Department (ENVFOR),Urgent action needed on wild animal intrusion.,Wild Animal Intrusion
Public Department (PUBLIC),"Issue with protocol violation, please resolve.",Protocol Violation
Special Programme Implementation (SPI),Urgent action needed on scheme monitoring.,Scheme Monitoring
Law Department (LAW),Requesting help with notary public complaint.,Notary Public Complaint
Higher Education Department (HIGHEDU),College Admission Issue,College Admission Issue
Highways and Minor Ports Department (HWY),Road is full of potholes,State Highway Potholes
Special Programme Implementation (SPI),Flagship Project Delay,Flagship Project Delay
Co-operation Food and Consumer Protection Department (FOODCO),My grievance is about weight measurement fraud.,Weight Measurement Fraud
Welfare of Differently Abled Persons (DIFFABLE),Report on special school admission.,Special School Admission
Social Welfare and Women Empowerment Department (SWNM),We are suffering due to marriage assistance scheme.,Marriage Assistance Scheme
Water Resources Department (WRD),Requesting help with canal encroachment.,Canal Encroachment
Handlooms Handicrafts Textiles and Khadi Department (HHTK),We are suffering due to handicraft artisan loan.,Handicraft Artisan Loan
Commercial Taxes and Registration Department (CTREG),Complaint regarding Tax Refund Delay,Tax Refund Delay
Youth Welfare and Sports Development Department (YOUTHSP),Complaint regarding Sports Kit Request,Sports Kit Request
Adi Dravidar and Tribal Welfare Department (ADW),Report on scholarship issue - adw.,Scholarship Issue - ADW
Transport Department (TRANS),Report on bus not stopping.,Bus Not Stopping
Information Technology Department (IT),My grievance is about server down / website crash.,Server Down / Website Crash
Health and Family Welfare Department (HEALTH),My grievance is about sanitation in hospital.,Sanitation in Hospital
School Education Department (SCHOOL),Problem faced: mid-day meal scheme.,Mid-day Meal Scheme
Revenue and Disaster Management Department (REV),Complaint regarding Patta / Chitta Transfer,Patta / Chitta Transfer
Health and Family Welfare Department (HEALTH),Dengue/Malaria Outbreak issue,Dengue/Malaria Outbreak
Public Department (PUBLIC),Report on law and order general.,Law and Order General
Public Works Department (PWD),Problem faced: lake encroachment.,Lake Encroachment
Transport Department (TRANS),Complaint against TRANS for overcrowding in bus.,Overcrowding in Bus
Public Department (PUBLIC),Report on ex-servicemen welfare.,Ex-Servicemen Welfare
Legislative Assembly Department (LEGIS),Assembly Proceedings Query issue,Assembly Proceedings Query
Municipal Administration and Water Supply Department (MAWS),Garbage is overflowing in street,Garbage Not Collected
Micro Small and Medium Enterprises Department (MSME),My grievance is about mudra loan rejection.,MUDRA Loan Rejection
Housing and Urban Development Department (HUD),Urgent action needed on rental dispute.,Rental Dispute
Public Elections Department (ELECTION),Complaint against ELECTION for voter id card not received.,Voter ID Card Not Received
Home Prohibition and Excise Department (HOMEEXC),My grievance is about fir registration refusal.,FIR Registration Refusal
Health and Family Welfare Department (HEALTH),We are suffering due to medicine shortage.,Medicine Shortage
Environment Climate Change and Forests Department (ENVFOR),Complaint regarding Forest Fire Reporting,Forest Fire Reporting
Human Resources Management Department (PAR),Problem faced: service register entry missing.,Service Register Entry Missing
Transport Department (TRANS),Urgent action needed on overcrowding in bus.,Overcrowding in Bus
Rural Development and Panchayat Raj Department (RDPR),Gram Sabha Meeting,Gram Sabha Meeting
Tourism Culture and Religious Endowments Department (TOURCUL),Urgent action needed on hotel registration.,Hotel Registration
Higher Education Department (HIGHEDU),Report on rusa fund utilization.,RUSA Fund Utilization
Adi Dravidar and Tribal Welfare Department (ADW),"Issue with hostel facility - adw, please resolve.",Hostel Facility - ADW
Tamil Dev. and Information Department (TAMINF),"Issue with memorial maintenance, please resolve.",Memorial Maintenance
Higher Education Department (HIGHEDU),Requesting help with college infrastructure.,College Infrastructure
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),"Issue with boat diesel subsidy, please resolve.",Boat Diesel Subsidy
Health and Family Welfare Department (HEALTH),Please look into this dengue/malaria outbreak matter.,Dengue/Malaria Outbreak
Tamil Dev. and Information Department (TAMINF),Please look into this tamil book publication matter.,Tamil Book Publication
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Urgent action needed on weaver id card issue.,Weaver ID Card Issue
Youth Welfare and Sports Development Department (YOUTHSP),Complaint regarding Sports Scholarship,Sports Scholarship
Energy Department (ENERGY),High Electricity Bill,High Electricity Bill
Legislative Assembly Department (LEGIS),Please look into this mla constituency fund matter.,MLA Constituency Fund
Labour Welfare and Skill Development Department (LBREMP),Problem faced: minimum wages violation.,Minimum Wages Violation
Municipal Administration and Water Supply Department (MAWS),Garbage is overflowing in street,Garbage Not Collected
Law Department (LAW),We are suffering due to government pleader issue.,Government Pleader Issue
Rural Development and Panchayat Raj Department (RDPR),"Issue with nrega wages pending, please resolve.",NREGA Wages Pending
School Education Department (SCHOOL),Teacher Absenteeism issue,Teacher Absenteeism
Social Welfare and Women Empowerment Department (SWNM),Complaint against SWNM for domestic violence helpline.,Domestic Violence Helpline
Housing and Urban Development Department (HUD),I have a complaint regarding slum clearance board tenement.,Slum Clearance Board Tenement
Micro Small and Medium Enterprises Department (MSME),Complaint regarding Udyam Registration Error,Udyam Registration Error
Public Works Department (PWD),We are suffering due to lake encroachment.,Lake Encroachment
Adi Dravidar and Tribal Welfare Department (ADW),Complaint regarding Free House Site Patta - ADW,Free House Site Patta - ADW
Revenue and Disaster Management Department (REV),I have a complaint regarding patta / chitta transfer.,Patta / Chitta Transfer
Commercial Taxes and Registration Department (CTREG),Complaint against CTREG for guide value query.,Guide Value Query
Home Prohibition and Excise Department (HOMEEXC),Please look into this prison inmate welfare matter.,Prison Inmate Welfare
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Urgent action needed on handicraft artisan loan.,Handicraft Artisan Loan
School Education Department (SCHOOL),Problem faced: teacher absenteeism.,Teacher Absenteeism
Transport Department (TRANS),Please look into this bus pass issue matter.,Bus Pass Issue
Home Prohibition and Excise Department (HOMEEXC),My grievance is about prison inmate welfare.,Prison Inmate Welfare
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint against AHFISH for cattle feed shortage.,Cattle Feed Shortage
Home Prohibition and Excise Department (HOMEEXC),Please look into this fir registration refusal matter.,FIR Registration Refusal
Transport Department (TRANS),I have a complaint regarding bus not stopping.,Bus Not Stopping
Housing and Urban Development Department (HUD),Urgent action needed on tnhb allotment issue.,TNHB Allotment Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),My grievance is about fishing ban relief.,Fishing Ban Relief
Rural Development and Panchayat Raj Department (RDPR),Urgent action needed on village water tank cleaning.,Village Water Tank Cleaning
Tamil Dev. and Information Department (TAMINF),Please look into this tamil scholar pension matter.,Tamil Scholar Pension
Tamil Dev. and Information Department (TAMINF),Problem faced: press/media accreditation.,Press/Media Accreditation
Co-operation Food and Consumer Protection Department (FOODCO),"Issue with ration rice quality, please resolve.",Ration Rice Quality
Public Elections Department (ELECTION),Electoral Roll Correction issue,Electoral Roll Correction
Industries Department (IND),"Issue with single window clearance, please resolve.",Single Window Clearance
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Urgent action needed on cattle feed shortage.,Cattle Feed Shortage
Municipal Administration and Water Supply Department (MAWS),Drainage Blockage,Drainage Blockage
Industries Department (IND),SIPCOT Land Allotment,SIPCOT Land Allotment
Municipal Administration and Water Supply Department (MAWS),Street light is dark/broken,Street Light Not Working
